page,price,location,alapterulet,szobak,erkely
5,265 000 Ft/hó,"Budapest IX. kerület, Bokréta utca",45 m2,2,5 m2
5,295 000 Ft/hó,"Budapest V. kerület, Váci utca",40 m2,1,2 m2
5,681 897 Ft/hó,"Budapest XIII. kerület, Hajóépítő sétány",66 m2,3,19 m2
5,245 000 Ft/hó,"Budapest XIII. kerület, Radnóti Miklós utca",35 m2,1 + 1 fél,
5,170 000 Ft/hó,"Budapest XIV. kerület, Róna utca",30 m2,1,
5,170 000 Ft/hó,"Budapest IX. kerület, Epreserdő utca",27 m2,1,
6,355 000 Ft/hó,"Budapest XII. kerület, Csorna utca",59 m2,3,8 m2
6,468 555 Ft/hó,"Budapest IX. kerület, Ferenc körút",106 m2,3,
6,190 000 Ft/hó,"Budapest XIV. kerület, Örs vezér tere",40 m2,2,
6,247 500 Ft/hó,"Budapest IX. kerület, Nádasdy utca 5-9.",37 m2,2,
6,260 000 Ft/hó,"Budapest II. kerület, Pasaréti út 139.b",42 m2,2,1 m2
6,450 000 Ft/hó,"Budapest XIII. kerület, Katona József utca",110 m2,3,2 m2
6,717 786 Ft/hó,"Budapest VIII. kerület, Corvin sétány 6.",73 m2,3,30 m2
6,490 000 Ft/hó,"Budapest VIII. kerület, Corvin sétány 2.",70 m2,3,11 m2
6,239 900 Ft/hó,"Budapest XIII. kerület, Gogol utca",33 m2,2,
6,270 000 Ft/hó,"Budapest IX. kerület, Thaly Kálmán utca 26.",42 m2,2,4 m2
6,250 000 Ft/hó,"Budapest XIV. kerület, Istvánmezei út",43 m2,1 + 1 fél,3 m2
6,280 000 Ft/hó,"Budapest IX. kerület, Vendel utca",48 m2,2,5 m2
6,440 000 Ft/hó,"Budapest V. kerület, Régi posta utca",33 m2,1 + 1 fél,
6,330 000 Ft/hó,"Budapest XI. kerület, Rupphegyi út 5.",45 m2,2,10 m2
6,220 000 Ft/hó,"Budapest IX. kerület, Márton utca 12.",29 m2,1,3 m2
6,250 000 Ft/hó,"Budapest VIII. kerület, Kis Fuvaros utca",36 m2,1,4 m2
6,398 770 Ft/hó,"Budapest VII. kerület, Rákóczi út 82.",120 m2,2 + 1 fél,
6,518 000 Ft/hó,"Budapest XII. kerület, Széchenyihegy",95 m2,4,10 m2
6,240 000 Ft/hó,"Budapest VII. kerület, Izabella utca",40 m2,2,8 m2
6,990 000 Ft/hó,"Budapest II. kerület, Bimbó út",120 m2,3 + 1 fél,17 m2
7,300 000 Ft/hó,"Budapest XIII. kerület, Cserhalom utca 6.",31 m2,1,10 m2
7,1 036 802 Ft/hó,"Budapest VI. kerület, Király utca",85 m2,3,40 m2
7,190 000 Ft/hó,"Budapest VII. kerület, Dohány utca",60 m2,2,
7,220 000 Ft/hó,"Budapest IX. kerület, Márton utca",30 m2,1,4 m2
7,490 000 Ft/hó,"Budapest VIII. kerület, Pál utca 2.",99 m2,4,
7,260 000 Ft/hó,"Budapest XIV. kerület, Istvánmezei út",46 m2,2,3 m2
7,996 925 Ft/hó,"Budapest VI. kerület, Király utca 40.",85 m2,3,20 m2
7,250 000 Ft/hó,"Budapest VII. kerület, Középső-Erzsébetváros",39 m2,1,1 m2
7,190 000 Ft/hó,"Budapest VI. kerület, Weiner Leó utca",25 m2,1,
7,290 000 Ft/hó,"Budapest XIII. kerület, Hollán Ernő utca",92 m2,2 + 1 fél,
7,240 000 Ft/hó,"Budapest XII. kerület, Kiss János altábornagy utca",37 m2,2,
7,295 000 Ft/hó,"Budapest VII. kerület, Dohány utca",42 m2,2,4 m2
7,350 000 Ft/hó,"Budapest XIII. kerület, Rozsnyay utca",40 m2,2,12 m2
7,385 000 Ft/hó,"Budapest II. kerület, Törökvész út",70 m2,2,18 m2
7,240 000 Ft/hó,"Budapest XI. kerület, Regős utca",54 m2,2,4 m2
7,410 000 Ft/hó,"Budapest II. kerület, Felső Zöldmáli út",71 m2,3,50 m2
7,500 000 Ft/hó,"Budapest XII. kerület, Németvölgy",90 m2,2 + 2 fél,7.5 m2
7,599 900 Ft/hó,"Budapest XI. kerület, Bíró László József körút",76 m2,3,40 m2
7,285 000 Ft/hó,"Budapest XI. kerület, Kanizsai utca",48 m2,2,7 m2
7,250 000 Ft/hó,"Budapest XI. kerület, Sasad",50 m2,2,6 m2
8,280 000 Ft/hó,"Budapest IX. kerület, Thaly Kálmán utca",46 m2,2,5 m2
8,260 000 Ft/hó,"Budapest IX. kerület, Nádasdy utca 14.",38 m2,1 + 1 fél,6 m2
8,270 000 Ft/hó,"Budapest III. kerület, Pünkösdfürdő utca 42-46.",44 m2,2,4 m2
8,280 000 Ft/hó,"Budapest XI. kerület, Kelenföld",61 m2,1 + 1 fél,3 m2
8,360 000 Ft/hó,"Budapest XI. kerület, Nagymákfa utca",70 m2,2,50 m2
8,259 000 Ft/hó,"Budapest XI. kerület, Baranyai utca",42 m2,1 + 2 fél,
8,420 000 Ft/hó,"Budapest IX. kerület, Lónyay utca",38 m2,2,35 m2
8,180 000 Ft/hó,"Budapest XIII. kerület, Róbert Károly körút",35 m2,1,
8,280 000 Ft/hó,"Budapest XI. kerület, Szerenád utca",45 m2,2,16 m2
8,220 000 Ft/hó,"Budapest VI. kerület, Bajza utca",28 m2,1,
8,460 000 Ft/hó,"Budapest VII. kerület, Belső-Erzsébetváros",103 m2,3,
8,1 395 695 Ft/hó,"Budapest II. kerület, Páfrány út",200 m2,5,30 m2
8,300 000 Ft/hó,"Budapest VI. kerület, Szinyei Merse utca 13.",53 m2,2,3 m2
8,270 000 Ft/hó,"Budapest XI. kerület, Menyecske utca",85 m2,2 + 1 fél,
8,250 000 Ft/hó,"Budapest XIV. kerület, Kalocsai utca",55 m2,3,5 m2
8,400 000 Ft/hó,"Budapest V. kerület, Báthory utca",75 m2,2,
8,430 000 Ft/hó,"Budapest II. kerület, Pusztaszeri út",100 m2,3,10 m2
8,290 000 Ft/hó,"Budapest XI. kerület, Kelenföld",46 m2,2,5 m2
8,717 786 Ft/hó,"Budapest VI. kerület, Weiner Leó utca",150 m2,2 + 1 fél,30 m2
8,260 000 Ft/hó,"Budapest XIV. kerület, Kalocsai utca 49.",34 m2,2,26 m2
9,315 000 Ft/hó,"Budapest II. kerület, Kapás utca",57 m2,1 + 1 fél,4 m2
9,325 000 Ft/hó,"Budapest XIII. kerület, Klapka utca 4-6.",62 m2,3,7.49 m2
9,370 000 Ft/hó,"Budapest V. kerület, Belváros",68 m2,2,
9,560 000 Ft/hó,"Budapest VI. kerület, Szondi utca 57.",68 m2,3,40 m2
9,290 000 Ft/hó,"Budapest XI. kerület, Szerémi sor",43 m2,2,
9,299 078 Ft/hó,"Budapest VI. kerület, Szondi utca 57.",35 m2,2,1 m2
9,400 000 Ft/hó,"Budapest V. kerület, Váci utca 52.",52 m2,2 + 1 fél,
9,190 000 Ft/hó,"Budapest XIV. kerület, Alsórákos",46 m2,1,4 m2
9,350 000 Ft/hó,"Budapest IX. kerület, Berzenczey utca",60 m2,2 + 1 fél,20 m2
9,360 000 Ft/hó,"Budapest II. kerület, Fillér utca 75.",50 m2,1 + 1 fél,10 m2
9,450 000 Ft/hó,"Budapest VI. kerület, Teréz körút",90 m2,3,2 m2
9,269 000 Ft/hó,"Budapest XIV. kerület, Lipótvár utca",57 m2,2,10 m2
9,215 000 Ft/hó,"Budapest VIII. kerület, Kun utca 4.",60 m2,2,6 m2
9,260 000 Ft/hó,"Budapest VIII. kerület, Alföldi utca",51 m2,2,6 m2
9,250 000 Ft/hó,"Budapest VI. kerület, Király utca",51 m2,2 + 1 fél,
9,280 000 Ft/hó,"Budapest XI. kerület, Ménesi út",65 m2,2 + 1 fél,4 m2
9,250 000 Ft/hó,"Budapest XIII. kerület, Madarász Viktor utca",43 m2,2,
9,250 000 Ft/hó,"Budapest XI. kerület, Szirtes út",44 m2,1 + 1 fél,7 m2
9,280 000 Ft/hó,"Budapest VI. kerület, Paulay Ede utca",52 m2,2,
9,230 000 Ft/hó,"Budapest V. kerület, Alkotmány utca",40 m2,1,
10,230 000 Ft/hó,"Budapest XVII. kerület, Újlak utca",52 m2,1 + 2 fél,
10,200 000 Ft/hó,"Budapest IV. kerület, Izzó utca",50 m2,2,
10,225 000 Ft/hó,"Budapest XIV. kerület, Bácskai utca",43 m2,2,
10,793 552 Ft/hó,"Budapest III. kerület, Királylaki út",157 m2,4,15 m2
10,480 000 Ft/hó,"Budapest XI. kerület, Rupphegyi út",73 m2,3,15 m2
10,300 000 Ft/hó,"Budapest XIII. kerület, Reitter Ferenc utca",100 m2,3,
10,220 000 Ft/hó,"Budapest VIII. kerület, Tolnai Lajos utca",38 m2,1 + 1 fél,4 m2
10,280 000 Ft/hó,"Budapest VII. kerület, Thököly út",60 m2,3,
10,220 000 Ft/hó,"Budapest XIII. kerület, Felka utca",46 m2,1 + 1 fél,
10,350 000 Ft/hó,"Budapest XIII. kerület, Jéggyár utca",82 m2,4,3 m2
10,400 000 Ft/hó,"Budapest II. kerület, Cseppkő utca",82 m2,3,6 m2
10,260 000 Ft/hó,"Budapest II. kerület, Szépvölgyi út",56 m2,2,5 m2
10,250 000 Ft/hó,"Budapest XI. kerület, Saru utca",71 m2,2,4 m2
10,280 000 Ft/hó,"Budapest IX. kerület, Márton utca",42 m2,2,
10,200 000 Ft/hó,"Budapest VII. kerület, Hársfa utca",25 m2,1,
10,460 000 Ft/hó,"Budapest V. kerület, Veres Pálné utca",120 m2,4,6 m2
10,320 000 Ft/hó,"Budapest II. kerület, Labanc út",54 m2,2,6 m2
10,250 000 Ft/hó,"Budapest VII. kerület, Jósika utca",35 m2,1,
10,200 000 Ft/hó,"Budapest II. kerület, Alsó Völgy utca",40 m2,1,
10,220 000 Ft/hó,"Budapest VI. kerület, Felső erdősor",46 m2,1 + 1 fél,
11,370 000 Ft/hó,"Budapest XIII. kerület, Váci út",54 m2,2 + 2 fél,
11,280 000 Ft/hó,"Budapest IX. kerület, Ipar utca",54 m2,1 + 1 fél,
11,190 000 Ft/hó,"Budapest IX. kerület, Lónyay utca",34 m2,1,
11,370 000 Ft/hó,"Budapest XI. kerület, Facsemete utca",104 m2,4,
11,250 000 Ft/hó,"Budapest VI. kerület, Benczúr utca",34 m2,1 + 1 fél,6 m2
